,day,p01i,tmpf,dwpf,relh,drct,sknt,alti,mslp,vsby,p01i_syr,tmpf_syr,dwpf_syr,relh_syr,drct_syr,sknt_syr,alti_syr,mslp_syr,vsby_syr,p01i_buf,tmpf_buf,dwpf_buf,relh_buf,drct_buf,sknt_buf,alti_buf,mslp_buf,vsby_buf
0,2020-01-01,0.0,30.503571428571423,21.067857142857143,67.70107142857142,261.40575079872207,11.189873417721516,29.712120253164624,1007.1458333333335,9.835443037974683,0.0,32.13518518518518,21.09444444444444,63.45333333333332,244.74605954465852,11.976109215017063,29.704709897610925,1006.135416666667,9.845563139931741,0.0,30.52909090909091,22.67454545454545,72.47727272727273,249.0584415584416,13.267828843106178,29.717194928684588,1007.5291666666664,9.704437400950873
1,2020-01-02,0.0,39.89166666666667,25.64166666666667,57.45833333333335,218.1290322580645,9.435897435897436,29.724198717948788,1007.275,10.0,0.0,41.04791666666667,23.95416666666668,51.72895833333333,191.3217391304348,7.495769881556684,29.75209813874784,1007.6083333333332,10.0,0.0,40.89583333333332,28.1,60.947083333333346,209.44636678200686,13.855769230769232,29.7020352564102,1006.6583333333333,10.0
2,2020-01-03,0.0,44.28275862068965,37.33103448275861,76.4358620689655,207.88643533123027,4.921135646687697,29.749589905362694,1008.0583333333333,10.0,0.0,45.664150943396216,36.35660377358491,70.26622641509432,216.18887015177063,4.763912310286678,29.755413153456956,1007.7145833333333,9.743676222596962,0.0,43.78070175438594,38.0701754385965,80.40526315789471,211.07424960505531,6.924170616113744,29.74262243285932,1007.8499999999997,9.399684044233807
3,2020-01-04,1.560000000000001,33.60769230769229,30.482692307692307,88.32730769230768,209.94011976047906,6.335311572700298,29.739584569732923,1007.8583333333336,7.351632047477745,4.929999999999982,35.787096774193515,32.10860215053767,86.41806451612892,217.58346581875995,5.298412698412698,29.71022222222224,1006.1791666666664,6.970238095238094,2.4899999999999918,33.69871794871793,29.80641025641027,85.81743589743594,201.55384615384617,7.558282208588957,29.75319018404901,1008.5375,7.677147239263804
4,2020-01-05,0.9000000000000006,31.575000000000006,24.711111111111112,76.1513888888889,277.3666666666667,9.306501547987617,29.909287925696567,1013.8125,7.7554179566563475,0.5600000000000003,31.125581395348874,24.215116279069772,75.77662790697677,266.51085141903167,9.024549918166938,29.881882160392923,1012.4708333333328,8.3310147299509,2.159999999999998,31.41604938271605,26.286419753086424,81.5445679012345,251.2111801242236,10.131498470948012,29.918180428134534,1014.2687500000003,7.577981651376147
5,2020-01-06,0.5900000000000003,33.726666666666674,24.88333333333333,71.04666666666667,254.28082191780825,13.406940063091486,29.85119496855346,1011.8541666666664,8.130503144654089,0.92,33.752380952380946,25.892857142857146,73.66071428571426,223.45811051693408,11.001697792869269,29.846812816188898,1010.9812499999997,8.177065767284992,0.15,34.235483870967734,27.23709677419354,75.93741935483871,250.36484245439468,15.277165354330707,29.86165354330707,1012.475,9.387401574803151
6,2020-01-07,0.0,31.07500000000001,21.875,68.67749999999998,197.7813504823151,4.7756410256410255,29.92900641025638,1014.3208333333333,9.987179487179487,0.06000000000000001,32.44705882352941,22.0156862745098,65.82470588235293,155.1839464882943,4.77,29.94341666666666,1014.2541666666667,9.810833333333333,0.14,32.583636363636344,25.28545454545455,74.66745454545456,205.68471337579618,7.480952380952381,29.911809523809687,1013.9416666666667,9.760714285714286
7,2020-01-08,0.4600000000000001,25.350819672131163,17.663934426229513,73.25491803278689,277.1009771986971,11.916426512968302,30.051152737752187,1019.05,6.380461095100866,1.0600000000000005,27.710000000000008,19.384999999999987,71.44966666666672,257.12068965517244,13.275806451612905,29.995475040257677,1016.8395833333329,6.480628019323674,0.14,25.74255319148937,17.984042553191472,72.55978723404255,281.70616113744074,13.713423831070891,30.08387631975869,1020.5583333333336,8.316742081447964
8,2020-01-09,0.14,22.04814814814815,11.833333333333336,66.31592592592594,161.8770226537217,6.796178343949045,30.515665529010228,1034.925,8.293789808917197,0.0,18.75384615384616,6.569230769230767,59.42365384615385,143.93673110720562,6.144599303135887,30.571855287569534,1036.220833333333,10.0,0.0,25.4,11.643999999999998,56.2918,154.0064620355412,7.08626198083067,30.473178913738032,1033.3333333333333,9.996805111821086
9,2020-01-10,0.4100000000000001,43.26,34.2,71.6544,192.0261437908497,9.099041533546323,30.23798722044724,1024.7000000000003,9.583067092651758,1.6600000000000013,39.50161290322582,30.714516129032265,71.7591935483871,153.49353049907575,7.1131756756756745,30.295540540540728,1026.1687500000003,9.177843803056026,3.6799999999999904,44.825,40.529545454545435,86.00420454545456,203.7729549248748,11.00302571860817,30.203948562783516,1023.6375,6.622919818456882
10,2020-01-11,2.3799999999999986,49.03333333333333,45.11818181818182,87.16484848484848,144.5573770491803,9.67398119122257,29.882978056426406,1012.0666666666666,8.088746081504702,1.990000000000001,54.307407407407396,46.894444444444424,76.7722222222222,163.44703770197486,8.881956155143339,29.92062289562296,1012.7729166666667,9.215488215488216,9.609999999999944,49.409459459459455,46.12972972972973,89.27716216216217,164.73856209150327,11.645007923930269,29.839953416149157,1010.6458333333333,8.04503105590062
11,2020-01-12,0.6000000000000002,34.11351351351351,29.862162162162164,84.6764864864865,203.993399339934,10.365131578947368,30.084567901234607,1020.3416666666666,8.748456790123457,0.8400000000000004,36.6943661971831,30.514084507042266,78.49267605633804,237.07964601769908,10.514480408858603,30.07421404682278,1018.9875,9.275587248322148,1.2100000000000009,33.266666666666694,29.26521739130434,85.37376811594206,192.42833052276558,10.86986301369863,30.093354838709704,1020.8913043478259,9.129032258064516
