day,p01i,tmpf,dwpf,relh,drct,sknt,alti,mslp,vsby
2020-01-01,0.0,30.503571428571423,21.067857142857143,67.70107142857142,261.40575079872207,11.189873417721518,29.712120253164624,1007.1458333333334,9.835443037974683
2020-01-02,0.0,39.89166666666667,25.64166666666667,57.45833333333335,218.1290322580645,9.435897435897436,29.72419871794879,1007.2750000000001,10.0
2020-01-03,0.0,44.28275862068965,37.33103448275861,76.43586206896552,207.88643533123027,4.921135646687697,29.749589905362694,1008.0583333333333,10.0
2020-01-04,1.560000000000001,33.60769230769229,30.482692307692307,88.32730769230768,209.94011976047904,6.335311572700297,29.739584569732916,1007.8583333333335,7.351632047477745
2020-01-05,0.9000000000000006,31.575000000000003,24.71111111111111,76.1513888888889,277.3666666666667,9.306501547987617,29.909287925696574,1013.8125,7.755417956656347
2020-01-06,0.5900000000000003,33.726666666666674,24.883333333333333,71.04666666666667,254.28082191780823,13.406940063091483,29.85119496855346,1011.8541666666665,8.130503144654089
2020-01-07,0.0,31.075000000000006,21.875,68.67749999999998,197.7813504823151,4.7756410256410255,29.92900641025638,1014.3208333333332,9.987179487179487
2020-01-08,0.4600000000000001,25.35081967213116,17.66393442622951,73.25491803278689,277.1009771986971,11.9164265129683,30.051152737752183,1019.0500000000001,6.380461095100866
2020-01-09,0.14,22.048148148148147,11.833333333333336,66.31592592592594,161.8770226537217,6.796178343949045,30.51566552901023,1034.925,8.293789808917197
2020-01-10,0.4100000000000001,43.26,34.2,71.6544,192.0261437908497,9.099041533546325,30.237987220447238,1024.7000000000003,9.583067092651758
2020-01-11,2.3799999999999986,49.033333333333324,45.118181818181824,87.16484848484849,144.55737704918033,9.67398119122257,29.882978056426403,1012.0666666666666,8.088746081504702
2020-01-12,0.6000000000000002,34.11351351351351,29.862162162162164,84.6764864864865,203.993399339934,10.365131578947368,30.08456790123461,1020.3416666666666,8.748456790123457
2020-01-13,0.0,34.93703703703703,29.31111111111111,79.80962962962964,195.38216560509554,4.825396825396825,30.333142857142825,1028.1375,9.965079365079365
2020-01-14,0.0,39.92,32.94857142857143,76.65171428571426,164.85714285714286,8.40809968847352,30.15288819875772,1021.6791666666664,9.313664596273291
2020-01-15,0.0,38.083999999999996,27.444000000000003,65.47480000000002,204.0,6.916932907348243,30.111022364217213,1020.3041666666667,10.0
2020-01-16,1.280000000000001,30.34375,24.73541666666667,79.72291666666668,288.15884476534296,11.939759036144578,30.12274096385543,1021.3375,5.805722891566265
2020-01-17,0.16,13.302857142857146,5.917142857142856,72.12285714285716,236.06451612903226,6.251552795031056,30.752178217821804,1042.7708333333337,6.505434782608695
2020-01-18,4.269999999999993,24.465957446808513,19.389361702127655,80.84617021276595,164.92307692307693,10.356495468277945,30.030060422960734,1018.1250000000001,6.753003003003003
2020-01-19,0.3400000000000001,25.854166666666668,19.74166666666666,77.39520833333331,295.8169934640523,12.723214285714286,29.85119047619047,1012.2958333333335,5.049107142857143
2020-01-20,0.0,14.911538461538461,5.742307692307694,67.85538461538461,287.21153846153845,6.662420382165605,30.390063694267557,1030.6375,8.45859872611465
2020-01-21,0.0,20.0962962962963,12.925925925925931,74.14148148148149,255.77777777777777,7.349206349206349,30.44663492063488,1032.3708333333334,9.565079365079365
2020-01-22,0.0,23.768,13.06,64.50600000000001,171.0223642172524,5.789137380191693,30.349456869009448,1028.8749999999998,10.0
2020-01-23,0.0,29.116666666666664,11.933333333333332,49.234583333333326,141.47435897435898,4.19551282051282,30.287403846153982,1026.7041666666667,10.0
2020-01-24,0.0,37.966666666666676,24.429166666666664,58.86375,100.03215434083602,5.076923076923077,30.17724358974352,1022.6750000000002,9.993589743589743
2020-01-25,3.459999999999988,36.5235294117647,31.241176470588243,82.35323529411764,165.32915360501568,7.84472049689441,29.885962732919346,1012.6749999999998,8.824534161490684
2020-01-26,0.4100000000000002,34.50526315789473,30.471052631578942,85.06973684210526,249.35185185185185,10.27076923076923,29.718738461538408,1007.1291666666667,9.44
2020-01-27,0.35000000000000014,33.213043478260865,28.98260869565217,84.32456521739135,289.54128440366975,8.94224924012158,29.71954407294828,1007.1956521739133,7.363981762917933
2020-01-28,0.7800000000000004,31.054901960784335,27.83921568627451,87.74960784313727,310.5688622754491,7.077844311377246,29.92041916167666,1014.2708333333335,5.107784431137724
2020-01-29,0.0,23.78333333333333,17.550000000000008,76.83708333333333,192.8896103896104,5.166666666666667,30.192435897435878,1023.6791666666668,8.96474358974359
2020-01-30,0.0,22.5625,14.850000000000003,72.42624999999998,98.74193548387096,3.112540192926045,30.263890675241075,1026.0458333333333,9.95176848874598
2020-01-31,0.02,28.019999999999996,22.240000000000006,78.84079999999999,67.79552715654953,1.5463258785942493,30.21070287539939,1024.0375000000001,8.875399361022364
2020-02-01,0.3000000000000001,29.6,24.47692307692308,81.67538461538462,129.07348242811503,1.786624203821656,29.912324840764352,1014.2904761904763,7.222929936305732
2020-02-02,1.370000000000001,32.05555555555554,29.224444444444448,89.20577777777787,193.15315315315314,4.36936936936937,29.509849849849804,1000.1833333333333,4.981981981981982
2020-02-03,0.0,37.76666666666667,30.46249999999999,75.21249999999999,219.93506493506493,8.259615384615385,29.778685897435896,1009.3250000000002,9.448717948717949
2020-02-04,0.0,34.996428571428574,28.1,76.15035714285715,246.15873015873015,5.651898734177215,29.83636075949366,1011.3125,9.737341772151899
2020-02-05,0.14,26.153846153846164,16.838461538461537,67.67615384615384,177.46621621621622,7.812101910828026,30.07640127388531,1019.4333333333333,9.040605095541402
