day,p01i,tmpf,dwpf,relh,drct,sknt,alti,mslp,vsby
2010-01-01,0.07,27.818749999999998,23.513749999999998,83.82041666666667,267.2916666666667,10.8125,29.907291666666683,1013.9437500000003,3.9322916666666665
2010-01-02,0.07999999999999999,12.121250000000002,7.238749999999999,80.43166666666664,304.7916666666667,11.208333333333334,29.979583333333334,1017.0250000000001,1.8802083333333333
2010-01-03,0.31,13.257500000000002,9.072500000000003,83.04875000000003,311.0416666666667,11.666666666666666,29.8866666666667,1014.00625,1.0625
2010-01-04,0.060000000000000005,15.436249999999996,11.0675,82.55312499999998,293.75,7.8125,29.880833333333353,1013.7249999999999,2.90625
2010-01-05,0.09999999999999999,19.062499999999996,14.986250000000004,83.92666666666666,286.25,9.104166666666666,29.852083333333322,1012.5666666666666,2.9114583333333335
2010-01-06,0.01,22.145,17.255,81.3027083333333,292.9166666666667,10.145833333333334,29.915833333333328,1014.5875000000001,8.015625
2010-01-07,0.02,26.284999999999997,23.247500000000013,88.13687499999999,206.66666666666666,6.479166666666667,29.93979166666666,1015.2583333333332,6.416666666666667
2010-01-08,0.20000000000000007,18.762499999999992,14.303749999999994,82.51833333333332,232.5,8.020833333333334,29.92499999999998,1014.93125,3.5885416666666665
2010-01-09,0.0,10.827499999999999,5.851250000000001,80.07062499999998,244.16666666666666,4.604166666666667,30.271041666666637,1027.1,7.416666666666667
2010-01-10,0.0,15.563749999999999,9.447499999999998,76.90374999999995,204.58333333333334,11.333333333333334,30.24875000000003,1026.3833333333334,8.947916666666666
2010-01-11,0.01,21.76625,16.381250000000005,79.61541666666663,202.08333333333334,11.520833333333334,30.084166666666665,1020.3020833333335,6.453125
2010-01-12,0.0,20.026249999999997,14.13875,77.79687499999999,268.75,6.5,30.214583333333337,1024.8291666666664,8.057291666666666
2010-01-13,0.0,25.767499999999995,20.8325,81.30446808510638,228.29787234042553,13.361702127659575,30.130416666666644,1021.8104166666667,8.645833333333334
2010-01-14,0.0,32.52125,24.185000000000006,71.48729166666668,220.83333333333334,10.9375,30.06312499999999,1019.2416666666667,9.416666666666666
2010-01-15,0.0,35.19124999999999,29.787500000000005,80.66375000000001,247.70833333333334,10.375,30.139375000000005,1021.6270833333334,8.020833333333334
2010-01-16,0.0,33.222500000000004,28.85375000000002,83.99458333333332,235.41666666666666,12.354166666666666,30.150416666666647,1022.0895833333334,8.088541666666666
2010-01-17,0.0,33.9425,31.98125,92.64999999999998,66.25,2.8125,29.84958333333334,1011.8604166666668,2.330416666666667
2010-01-18,0.0,30.95375,29.1275,92.91270833333336,242.29166666666666,9.541666666666666,29.854583333333352,1012.0749999999999,2.7447916666666665
2010-01-19,0.09,29.471818181818193,26.591818181818187,89.13749999999999,239.0909090909091,6.364545454545453,29.89295454545456,1013.5046511627904,6.0625
2010-01-20,0.01,25.834999999999994,20.330000000000002,79.58255319148934,236.59574468085106,4.702127659574468,30.04041666666667,1018.5541666666669,9.03125
2010-01-21,0.0,24.7775,18.51125,75.84731707317074,81.46341463414635,8.292682926829269,30.121041666666667,1021.5208333333335,9.270833333333334
2010-01-22,0.0,28.595000000000002,21.290000000000003,74.11812499999999,71.66666666666667,8.5625,30.016458333333333,1017.739583333333,10.0
2010-01-23,0.0,29.686249999999998,22.133750000000006,74.23106382978723,80.0,6.425531914893617,30.11958333333334,1021.247916666667,9.791666666666666
2010-01-24,1.4700000000000004,38.8925,31.4675,76.03756097560976,149.5121951219512,7.609756097560975,29.710624999999997,1006.985416666667,8.291666666666666
2010-01-25,1.9000000000000006,38.491249999999994,35.029999999999994,87.55520833333333,193.125,11.75,29.278958333333353,992.2702127659572,5.460625
2010-01-26,0.06,29.896249999999995,23.960000000000004,78.45166666666667,241.66666666666666,17.8125,29.612499999999994,1003.8604166666665,7.369791666666667
2010-01-27,0.09,26.282127659574467,20.59106382978723,78.75536585365853,242.4390243902439,16.975609756097562,29.967021276595744,1016.1212765957448,3.9893617021276597
2010-01-28,0.30000000000000004,18.364,11.972000000000003,76.06044444444444,268.22222222222223,16.288888888888888,30.048888888888886,1019.1133333333333,3.811111111111111
2010-01-29,0.0,10.939999999999996,2.5175000000000005,68.67063829787233,268.0851063829787,9.74468085106383,30.344791666666676,1029.6729166666667,7.682291666666667
2010-01-30,0.0,5.446249999999998,-1.3112500000000002,73.70937499999998,62.291666666666664,2.7916666666666665,30.250416666666684,1026.685416666667,9.260416666666666
2010-01-31,0.0,16.182978723404254,9.637872340425533,75.1406382978723,229.5744680851064,13.72340425531915,30.067446808510624,1020.1829787234042,7.957446808510638
2010-02-01,0.0,20.483749999999997,12.233749999999999,70.20374999999999,257.7083333333333,10.791666666666666,30.218541666666678,1024.9645833333332,9.666666666666666
2010-02-02,0.03,21.162499999999998,15.406250000000007,78.6545833333333,83.54166666666667,3.125,30.119791666666654,1021.6062499999998,7.671875
2010-02-03,0.060000000000000005,26.04875,21.196250000000006,82.04729166666667,231.45833333333334,7.479166666666667,30.108125000000012,1021.0145833333332,5.005208333333333
2010-02-04,0.0,22.94,16.347500000000007,76.08562500000001,217.08333333333334,6.125,30.35520833333331,1029.4916666666666,9.520833333333334
2010-02-05,0.0,25.066249999999997,19.1,78.17208333333333,72.91666666666667,7.166666666666667,30.185833333333317,1023.6875000000003,7.958333333333333
2010-02-06,0.0,16.655,9.646249999999998,73.62291666666665,66.25,10.770833333333334,29.98375,1017.0333333333334,8.625
2010-02-07,0.02,18.275000000000002,9.867499999999998,70.15645833333333,279.7916666666667,6.729166666666667,30.06749999999998,1019.9520833333332,8.458333333333334
