,tmpf,dwpf,relh,drct,sknt,alti,mslp,vsby,roch_rained_today,roch_rains_tomorrow
0,29.284999999999986,25.88000000000001,87.14916666666666,257.9166666666667,9.666666666666666,29.888333333333332,1012.7125000000003,5.84375,1,0
1,11.464999999999998,5.960000000000001,78.21583333333334,290.8333333333333,12.041666666666664,29.930833333333336,1013.65,3.0416666666666665,0,0
2,11.089999999999998,6.597500000000001,81.79249999999998,289.1666666666667,12.25,29.83083333333333,1009.0333333333333,1.9791666666666667,0,0
3,15.042499999999995,11.097499999999995,84.15875,272.0833333333333,8.333333333333334,29.857083333333332,1012.1041666666664,4.416666666666667,0,1
4,18.095,14.854999999999995,87.01416666666668,270.8333333333333,7.541666666666668,29.82583333333332,1010.9833333333332,3.875,1,0
5,21.057499999999994,17.135,84.72958333333334,278.75,10.083333333333334,29.8775,1012.6666666666664,7.145833333333332,0,0
6,26.13499999999999,23.2325,88.63666666666666,250.0,7.125,29.93166666666667,1014.4,8.208333333333334,0,1
7,19.1375,15.62,86.01166666666668,249.16666666666663,8.75,29.90583333333333,1013.5708333333333,2.0416666666666665,1,1
8,11.149999999999995,6.642499999999999,82.24624999999997,295.4166666666667,5.833333333333332,30.25625000000001,1025.7583333333334,6.239583333333332,1,0
9,13.152499999999998,7.1675,77.40666666666667,239.5833333333333,10.5,30.241249999999994,1024.8625,9.833333333333334,0,1
10,21.68,14.5625,74.38666666666666,238.3333333333333,9.75,30.09708333333333,1020.0541666666664,7.895833333333332,1,0
11,20.4275,14.577500000000002,77.97874999999998,292.9166666666667,6.625,30.19958333333334,1023.6124999999997,8.208333333333334,0,0
12,24.3575,18.3275,77.83708333333333,171.66666666666666,6.958333333333332,30.13875,1021.4583333333336,9.708333333333334,0,0
13,32.96,22.205,64.71708333333335,187.5,5.75,30.08333333333333,1019.4250000000003,9.875,0,0
14,36.58249999999999,29.83250000000001,76.60833333333333,257.5,9.708333333333334,30.12833333333333,1020.7666666666664,9.041666666666666,0,0
15,35.39750000000001,28.57249999999999,76.5025,237.0833333333333,8.791666666666666,30.15708333333333,1021.775,9.583333333333334,0,1
16,35.18,32.1275,88.83458333333334,82.91666666666667,3.1666666666666665,29.88333333333333,1012.45,6.541666666666668,1,1
17,33.83,31.1,89.76541666666668,221.66666666666663,6.666666666666668,29.85250000000001,1011.4,5.364583333333333,1,1
18,31.482500000000005,27.665,85.8141666666667,237.5,5.166666666666667,29.899999999999995,1013.1333333333336,7.520833333333332,1,0
19,28.7825,21.74000000000001,75.08041666666666,243.3333333333333,6.083333333333332,30.03333333333332,1017.7125000000003,9.166666666666666,0,0
20,26.870000000000005,19.7525,75.10625,77.91666666666667,4.5,30.16375000000001,1022.2375,9.5,0,0
21,29.135,22.32500000000001,75.88999999999999,58.75,7.125,30.05791666666666,1018.5958333333333,10.0,0,0
22,29.45000000000001,21.545,73.44958333333334,87.91666666666669,4.25,30.16583333333333,1022.2166666666666,9.625,0,1
23,41.09,30.95000000000001,68.15208333333332,161.25,9.333333333333334,29.78083333333333,1008.9375,9.25,1,1
24,44.465,39.215,81.86999999999998,209.16666666666663,12.333333333333336,29.28374999999999,991.8083333333333,9.375,1,0
25,30.59000000000001,23.105,73.65916666666669,233.75,14.541666666666664,29.611249999999995,1003.2875,8.770833333333334,0,0
26,26.92250000000001,18.747500000000006,71.65833333333333,239.5833333333333,12.916666666666664,29.977916666666665,1015.8708333333333,8.03125,0,1
27,20.1125,14.090000000000005,77.64833333333334,269.5833333333333,12.416666666666664,30.01625000000001,1017.2958333333336,3.052083333333333,1,1
28,9.9575,3.8225,76.09666666666666,282.9166666666667,7.416666666666668,30.33708333333334,1027.625,4.166666666666667,1,0
29,4.3025,-1.3525,77.45791666666666,115.0,1.7083333333333333,30.262916666666666,1025.9625,8.604166666666666,0,0
