,tmpf,dwpf,relh,drct,sknt,alti,mslp,vsby,tmpf_syr,dwpf_syr,relh_syr,drct_syr,sknt_syr,alti_syr,mslp_syr,vsby_syr,tmpf_buf,dwpf_buf,relh_buf,drct_buf,sknt_buf,alti_buf,mslp_buf,vsby_buf,roch_rained_today,buf_rained_today,syr_rained_today,roch_rains_tomorrow
0,29.284999999999986,25.88000000000001,87.14916666666666,257.9166666666667,9.666666666666666,29.888333333333332,1012.7125000000003,5.84375,30.29375000000001,26.06,84.50250000000003,190.625,6.145833333333332,29.86916666666665,1011.7770833333333,5.463541666666668,27.81875,23.51375,83.82041666666667,267.2916666666667,10.8125,29.907291666666683,1013.9437500000003,3.9322916666666665,0,0,0,0
1,11.464999999999998,5.960000000000001,78.21583333333334,290.8333333333333,12.041666666666664,29.930833333333336,1013.65,3.0416666666666665,15.222500000000005,10.463749999999996,81.16124999999997,302.5,12.354166666666664,29.85458333333333,1011.5062500000003,1.40625,12.121250000000002,7.238749999999999,80.43166666666664,304.7916666666667,11.208333333333336,29.97958333333333,1017.025,1.8802083333333333,0,0,0,0
2,11.089999999999998,6.597500000000001,81.79249999999998,289.1666666666667,12.25,29.83083333333333,1009.0333333333333,1.9791666666666667,13.309999999999995,8.34125,80.23937499999998,310.0,10.729166666666666,29.75104166666665,1008.1416666666668,1.3541666666666667,13.257500000000002,9.072500000000003,83.04875000000003,311.0416666666667,11.666666666666664,29.8866666666667,1014.00625,1.0625,0,0,0,0
3,15.042499999999995,11.097499999999995,84.15875,272.0833333333333,8.333333333333334,29.857083333333332,1012.1041666666664,4.416666666666667,16.639999999999983,11.9225,81.45916666666666,268.75,7.520833333333332,29.81604166666665,1010.3000000000003,2.25,15.436249999999996,11.0675,82.55312499999998,293.75,7.8125,29.880833333333353,1013.725,2.90625,0,0,0,0
4,18.095,14.854999999999995,87.01416666666668,270.8333333333333,7.541666666666668,29.82583333333332,1010.9833333333332,3.875,18.98375000000001,14.911250000000004,84.03583333333331,242.29166666666663,6.354166666666668,29.789583333333322,1009.360416666667,2.6666666666666665,19.0625,14.986250000000005,83.92666666666666,286.25,9.104166666666666,29.852083333333322,1012.5666666666666,2.911458333333333,0,0,0,0
5,21.057499999999994,17.135,84.72958333333334,278.75,10.083333333333334,29.8775,1012.6666666666664,7.145833333333332,22.013750000000005,18.155,84.89041666666662,302.9166666666667,8.958333333333334,29.82708333333333,1010.5083333333333,4.145833333333333,22.145,17.255,81.3027083333333,292.9166666666667,10.145833333333334,29.91583333333333,1014.5875,8.015625,0,0,0,0
6,26.13499999999999,23.2325,88.63666666666666,250.0,7.125,29.93166666666667,1014.4,8.208333333333334,25.553750000000004,21.331249999999994,83.83437500000005,281.4583333333333,6.895833333333332,29.91020833333333,1013.2729166666664,8.083333333333334,26.285,23.24750000000001,88.13687499999996,206.66666666666663,6.479166666666668,29.93979166666666,1015.2583333333333,6.416666666666668,0,0,0,0
7,19.1375,15.62,86.01166666666668,249.16666666666663,8.75,29.90583333333333,1013.5708333333333,2.0416666666666665,17.464999999999996,11.877499999999998,78.40104166666664,198.9583333333333,6.75,29.87208333333334,1012.0999999999997,5.359375,18.762499999999992,14.303749999999996,82.51833333333332,232.5,8.020833333333334,29.92499999999998,1014.93125,3.5885416666666665,0,0,0,0
8,11.149999999999995,6.642499999999999,82.24624999999997,295.4166666666667,5.833333333333332,30.25625000000001,1025.7583333333334,6.239583333333332,9.334999999999997,3.3425,76.39000000000001,202.7083333333333,5.3125,30.228749999999977,1024.39375,7.890625,10.8275,5.851250000000001,80.07062499999998,244.16666666666663,4.604166666666667,30.27104166666664,1027.1,7.416666666666668,0,0,0,0
9,13.152499999999998,7.1675,77.40666666666667,239.5833333333333,10.5,30.241249999999994,1024.8625,9.833333333333334,8.851250000000002,2.3599999999999994,74.95625,132.5,4.145833333333333,30.235625000000034,1024.775,9.5,15.56375,9.447499999999998,76.90374999999995,204.5833333333333,11.333333333333336,30.248750000000033,1026.3833333333334,8.947916666666666,0,0,0,0
10,21.68,14.5625,74.38666666666666,238.3333333333333,9.75,30.09708333333333,1020.0541666666664,7.895833333333332,21.728750000000005,12.94625,69.22937500000002,227.0833333333333,5.9375,30.099583333333307,1019.8020833333336,8.614583333333334,21.76625,16.381250000000005,79.61541666666662,202.0833333333333,11.520833333333336,30.084166666666665,1020.3020833333336,6.453125,0,0,0,0
11,20.4275,14.577500000000002,77.97874999999998,292.9166666666667,6.625,30.19958333333334,1023.6124999999997,8.208333333333334,17.881739130434774,12.03173913043478,77.67782608695651,229.7826086956522,5.5,30.1658695652174,1022.0673913043472,7.2771739130434785,20.02625,14.13875,77.79687499999999,268.75,6.5,30.21458333333333,1024.8291666666664,8.057291666666666,0,0,0,0
12,24.3575,18.3275,77.83708333333333,171.66666666666666,6.958333333333332,30.13875,1021.4583333333336,9.708333333333334,18.88625,13.41125,79.11500000000002,130.83333333333334,3.520833333333333,30.14604166666666,1021.4916666666667,8.458333333333334,25.767499999999995,20.8325,81.30446808510638,228.2978723404256,13.361702127659571,30.13041666666665,1021.8104166666667,8.645833333333334,0,0,0,0
13,32.96,22.205,64.71708333333335,187.5,5.75,30.08333333333333,1019.4250000000003,9.875,33.05375000000001,22.13,64.36437499999998,185.625,6.208333333333332,30.109166666666656,1019.9333333333334,9.708333333333334,32.52125,24.18500000000001,71.48729166666669,220.8333333333333,10.9375,30.06312499999999,1019.2416666666667,9.416666666666666,0,0,0,0
