,tmpf,dwpf,relh,drct,sknt,alti,mslp,vsby,roch_rained_today,roch_rains_tomorrow
0,-1.1033864168981333,-0.7812364415555629,1.4380582182414163,0.9235525396653992,0.7288505146102312,-0.5501204370328602,-0.5221596101783718,-1.8642172040285987,0,0
1,-2.0596818015230745,-1.8877653912784846,0.6340502830731763,1.4006627949392412,1.4897186912093099,-0.34836677359684753,-0.39310253494374053,-3.5616725938479945,0,0
2,-2.0798058626473366,-1.8523531319688278,0.955953460101354,1.3765053136595535,1.5564615137180018,-0.8230812757992094,-1.0286369320994015,-4.205317388500702,0,0
3,-1.8676982583976127,-1.6023842427241923,1.1689180619586526,1.1288911305427485,0.3016964505546081,-0.698468718971091,-0.6059033123307322,-2.7287205066503724,0,0
4,-1.703888400846118,-1.3936602202049213,1.4259080983256298,1.1107730195829824,0.04807372502158182,-0.8468170009093723,-0.7601982156112801,-3.056853147061557,0,0
5,-1.5449083179644465,-1.2670093163209724,1.220293569009982,1.2255210556615017,0.8623361596276139,-0.6015478414381005,-0.5284690671899253,-1.075436818424791,0,0
6,-1.2724285303419358,-0.9283014713944907,1.571934539535755,0.8088045035868797,-0.08541191999580089,-0.34441081941183166,-0.2898568747559979,-0.43179202377208237,0,0
7,-1.6479435109206688,-1.3511655090333332,1.3356822078398656,0.7967257629470351,0.4351820955719902,-0.4670453991474591,-0.4040006879635557,-4.1674559299917195,0,0
8,-2.0765860128674545,-1.8498534430763818,0.9967913631516437,1.4670958684583844,-0.4992174195496865,1.1964333356532904,1.2737412900872769,-1.6244279668050416,0,0
9,-1.9691235264638944,-1.820690405997841,0.5612245643186646,0.6578202455888276,0.995821804644996,1.1252261603228695,1.150420084863008,0.5526058974614704,0,0
10,-1.5115023764981708,-1.4099081980058226,0.2894218817580569,0.6397021346290614,0.7555476436137079,0.4408460863145136,0.4885006856593454,-0.6210993163169974,0,0
11,-1.5787167406532068,-1.409074968375007,0.6127125724803228,1.4308596465388521,-0.2455946940166597,0.9274284510719569,0.9783439845500723,-0.43179202377208237,0,0
12,-1.3678165800709383,-1.2007675606711439,0.5999624466427681,-0.32659711655846746,-0.13880617800275422,0.6386437955655104,0.681799505010908,0.4768829804435048,0,0
13,-0.9061706178803626,-0.9853777011053495,-0.5808492073953628,-0.09710104440142907,-0.5259145485531626,0.37557284226168397,0.4018890485019212,0.5778468698007919,0,0
14,-0.7117721874199899,-0.5616804338356911,0.4893738551870253,0.9175131693454768,0.7421990791119698,0.5891943682527443,0.5865840628376977,0.07302742301435423,0,0
15,-0.7753642205726575,-0.6316717228241902,0.47984876117896846,0.6215840236692952,0.44853066007372827,0.7256747876359105,0.7253921170901375,0.4011600634255392,0,0
